EntrezGeneId,UniProtID
3762,http://www.uniprot.org/uniprot/P48544
5927,http://www.uniprot.org/uniprot/P29375
8242,http://www.uniprot.org/uniprot/P41229
7403,http://www.uniprot.org/uniprot/O15550
3791,http://www.uniprot.org/uniprot/P35968
2531,http://www.uniprot.org/uniprot/Q06136
9817,http://www.uniprot.org/uniprot/Q14145
3799,http://www.uniprot.org/uniprot/P33176
3815,http://www.uniprot.org/uniprot/P10721
9314,http://www.uniprot.org/uniprot/O43474
1316,http://www.uniprot.org/uniprot/Q99612
3817,http://www.uniprot.org/uniprot/P20151
4297,http://www.uniprot.org/uniprot/Q03164
58508,http://www.uniprot.org/uniprot/Q8NEZ4
8085,http://www.uniprot.org/uniprot/O14686
3845,http://www.uniprot.org/uniprot/P01116
3895,http://www.uniprot.org/uniprot/Q86UP2
3927,http://www.uniprot.org/uniprot/Q14847
3932,http://www.uniprot.org/uniprot/P06239
51176,http://www.uniprot.org/uniprot/Q9UJU2
3977,http://www.uniprot.org/uniprot/P42702
4000,http://www.uniprot.org/uniprot/P02545
4004,http://www.uniprot.org/uniprot/P25800
4005,http://www.uniprot.org/uniprot/P25791
4026,http://www.uniprot.org/uniprot/Q93052
121227,http://www.uniprot.org/uniprot/Q6UXM1
53353,http://www.uniprot.org/uniprot/Q9NZR2
4066,http://www.uniprot.org/uniprot/P12980
8216,http://www.uniprot.org/uniprot/Q8N653
4094,http://www.uniprot.org/uniprot/O75444
9935,http://www.uniprot.org/uniprot/Q9Y5Q3
10892,http://www.uniprot.org/uniprot/Q9UDY8
84441,http://www.uniprot.org/uniprot/Q8IZL2
5604,http://www.uniprot.org/uniprot/Q02750
5605,http://www.uniprot.org/uniprot/P36507
6416,http://www.uniprot.org/uniprot/P45985
4214,http://www.uniprot.org/uniprot/Q13233
9175,http://www.uniprot.org/uniprot/O43283
5594,http://www.uniprot.org/uniprot/P28482
4149,http://www.uniprot.org/uniprot/P61244
4193,http://www.uniprot.org/uniprot/Q00987
4194,http://www.uniprot.org/uniprot/O15151
2122,http://www.uniprot.org/uniprot/Q03112
9968,http://www.uniprot.org/uniprot/Q93074
4221,http://www.uniprot.org/uniprot/O00255
4233,http://www.uniprot.org/uniprot/P08581
4286,http://www.uniprot.org/uniprot/O75030
57591,http://www.uniprot.org/uniprot/Q969V6
4291,http://www.uniprot.org/uniprot/P58340
4292,http://www.uniprot.org/uniprot/P40692
4298,http://www.uniprot.org/uniprot/Q03111
8028,http://www.uniprot.org/uniprot/P55197
10962,http://www.uniprot.org/uniprot/Q13015
4300,http://www.uniprot.org/uniprot/P42568
4301,http://www.uniprot.org/uniprot/P55196
4302,http://www.uniprot.org/uniprot/P55198
4330,http://www.uniprot.org/uniprot/Q10571
4352,http://www.uniprot.org/uniprot/P40238
4436,http://www.uniprot.org/uniprot/P43246
2956,http://www.uniprot.org/uniprot/P52701
124540,http://www.uniprot.org/uniprot/Q96DH6
4478,http://www.uniprot.org/uniprot/P26038
4515,http://www.uniprot.org/uniprot/P56278
2475,http://www.uniprot.org/uniprot/P42345
4582,http://www.uniprot.org/uniprot/P15941
4595,http://www.uniprot.org/uniprot/Q9UIF7
4602,http://www.uniprot.org/uniprot/P10242
4609,http://www.uniprot.org/uniprot/P01106
4610,http://www.uniprot.org/uniprot/P12524
4613,http://www.uniprot.org/uniprot/P04198
4615,http://www.uniprot.org/uniprot/Q99836
4629,http://www.uniprot.org/uniprot/P35749
4627,http://www.uniprot.org/uniprot/P35579
4644,http://www.uniprot.org/uniprot/Q9Y4I1
4654,http://www.uniprot.org/uniprot/P15172
4665,http://www.uniprot.org/uniprot/Q15742
4683,http://www.uniprot.org/uniprot/O60934
8648,http://www.uniprot.org/uniprot/Q15788
10499,http://www.uniprot.org/uniprot/Q15596
8031,http://www.uniprot.org/uniprot/Q13772
9611,http://www.uniprot.org/uniprot/O75376
9612,http://www.uniprot.org/uniprot/Q9Y618
10397,http://www.uniprot.org/uniprot/Q92597
4763,http://www.uniprot.org/uniprot/P21359
4771,http://www.uniprot.org/uniprot/P35240
4773,http://www.uniprot.org/uniprot/Q13469
4780,http://www.uniprot.org/uniprot/Q16236
4781,http://www.uniprot.org/uniprot/O00712
4791,http://www.uniprot.org/uniprot/Q00653
4794,http://www.uniprot.org/uniprot/O00221
51199,http://www.uniprot.org/uniprot/Q8N4C6
7080,http://www.uniprot.org/uniprot/P43699
